,makespan,avg_exec,avg_wait,throughput,imbalance,resource_util
SMA,200.67320000003093,21.40987085714953,32.786012244914005,0.31821924894714393,1.2893610391059984,0.4363429867728577
FCFS,587.9048999999999,23.432417641846563,90.16941250000102,0.0889693818572852,1.090446006173156,0.1299239258192161
RR,625.3121999999742,23.738799999998932,93.27034166667096,0.08384976004515397,1.414183683027393,0.12791085006027028
SHC,185.65919999998295,18.502310938778134,27.423578962587577,0.32212034163834036,1.1784589066227007,0.37297469315170473
